id,currency
tie-20160801-53467057,CAD
tie-20160813-639691482,GBP
tie-20160801-2018415312,AUD
tie-0838b9544f5e4e7186949a44f827f5c4,USD
tie-c611bfa2f83449d4ac733e942cb78b0a,CAD
tie-1c68ef3269d346908c2f12667472554d,CZK
tie-342779d9f456439aa69e742d0e26422d,HRK
tie-b808e4f531964112be542b30855e181c,USD
tie-1e1c5f7f57a14676a24baa39d175b376,EUR
tie-76e3f821054d4dafaaabcf38fcf88bda,EUR
tie-76ed7240872740a9a51f70cb12663936,EUR
tie-d9ea8c9275724f4bae1b423da6aa8389,CAD
tie-734927c6c7704f0c9271de524c563bc2,HKD
tie-79f4e46bd51943a296b8af9db4b1e47d,XCD
tie-1e18afa1adad4c8e865de023710b024d,KWD
tie-471f69fc28e44637858ab6db7f0366b6,EUR
tie-1ff6b9154387430b811c746f26cdaf3f,CAD
tie-b723b8f78c264e459f5265ce429ff4f6,GHS
tie-f79bd0bd01dc4870aaf2afa20731e1ac,EUR
tie-6c57704543ff435cb673a469cad6601f,USD
tie-688ae36d1eaa4c4196c6fb983295413d,USD
tie-a05c47b6509c4c30a51043b0fa022675,EUR
tie-c6175ae554e3468c9def4d04109ee279,CAD
tie-e2fcdc5d93d5420aa89bd5c0de9f4b37,CAD
tie-5c73c683b43a4dcebd5ed5bc9c7908fc,CAD
tie-932e710e8f8a4a2db41b3b1e55fe3dde,USD
tie-dacb4afe32464aaab654bcaf640445ca,STD
tie-ad02994fba954abf838ea183abbf0c36,KRW
tie-5a156987ecba4b3a8cb15a7b6862c50b,USD
tie-bb2e440099d44513bf139f85601e3b6a,CAD
tie-9f36814a493c4a4491e87ef2e3031d53,CAD
tie-f08f01a203a6499db39119479fc13347,CAD
tie-0d421823b1b14f368dcd1c1c94304c72,USD
tie-fc725efd4cec4c84825a62f4ea97d071,EUR
tie-7f7a8a4572ea4716b484f4cdbe49925e,SGD
tie-28a0961b08654799ae015ce61944a92d,EUR
tie-d5d81002bd01491fa4afc76809e52575,USD
tie-15a8c09d38e046ba88fa3d3a317d4325,CAD
tie-01ce8110877d486eb2e49a870e52c607,USD
tie-1b6ef978d52b4104a92b65d87da1d006,USD
tie-919539ed4c86427dbc5393640ef253f8,CAD
tie-1697b40b8a554eccae2c1446d6124d0b,USD
tie-a7ac71cdc6924d849d1884d09167706c,EUR
tie-5c2f8d1b861149acba82ae4339a426f4,EUR
tie-a09dd0cbf1cd48ef8de783430bc4a3fd,EUR
tie-3ad5bd761dec4654b6dc842f68dcb3d5,CAD
tie-4f4f351ac88c4b36b340297e113c0e55,ILS
tie-8d1cb87d3cf14a5480388557876a4957,EUR
tie-231a08542ff24b5f8d19f8d61d698d21,TWD
tie-2df33053751849e599aa522a9b0af9a4,CNY
tie-0b2deaf3ebee42818ce33bcd4831a0a5,CAD
tie-3bfd7c6b1e60429ca6ef9c19034e07d3,KRW
tie-e73f3758340c45a68b7a2795747bd54d,BDT
tie-8d9cfd31796349a8bd596f158fe85a16,EUR
tie-61dcef4e8af4442095eb12b1d6987f6c,CNY
tie-eb5db7a625494589952b574ff1b00427,USD
tie-a00d085137f44f458e02a7cf569614d1,HUF
tie-8c177d09f5b44eb8acdc2cdb4485ca68,EUR
tie-4d738c8352064fc0a74debf0c70c9866,CAD
tie-fdc1956186aa4d939aab08f25c7f429f,EUR
tie-cf4cfd9d3e45454e9a661977fd760fb6,CAD
tie-8135d752d3134526b9550f134ce2fa9f,EUR
tie-10c9130e80cd435bbefb9c702100eda6,CNY
tie-d92c6802b7f34e5ea7caa6e3482128ba,USD
tie-d0bc8340ec5441eab62301d89bbb1bb6,NOK
tie-989780c7627740e9bb00f840f24a8016,USD
tie-a6e51fac56a7433ebdba72d47224901a,NZD
tie-b1cca19b15d54ac292889fba4275a3db,RON
tie-0674157c06a043feb1adfda73b1f3014,EUR
tie-33d16e56701f4587b9d307958110ca4a,USD
tie-4f818992b38b4884a56dc3dc45d4ba6f,AUD
tie-f0bfb00a9f46456f833bf46f07e55199,EUR
tie-8a9be089f0444f21959d7bde9b98fc65,VUV
tie-5363626d2299442a934e44a66c0d784d,EUR
tie-d4239cfa60314ada8f817c5c86c848e4,USD
tie-a32e931bc8244b72ac5163ce4a6ac23b,USD
tie-10e71083ba1045b8a9d981cbed884694,HUF
tie-7f92583396fb493da720e7d681af5102,CAD
tie-154d93acc32a4f1d8273f41b8bff7296,CHF
tie-dd0d791c8d604f1aa8713a93b3897311,CNY
tie-758ac4ad4f9e4eca9d2b9060873fa5eb,AMD
tie-11890c6ef115430980cef60c835cf229,CAD
tie-317b8ff225b34eb5a11a49ecd0c708ca,HKD
tie-de034cd40b5644ef8527e2ce14a2b5db,CAD
tie-1277e465e8d34018988cf4654ddcfbe8,SZL
tie-93cd89702034477b8b592a9b046f97b9,GBP
tie-5e0a6496c2544fdc905ee329370674a3,CAD
tie-54828db6b23447e280c71a4dc378aad6,AED
tie-d64702c60efa4fef8c9be07395cad347,EUR
tie-d75356ae07fe4a579d03a508cbd9e8c8,EUR
tie-2686bd03d0224320ac76985a238f4f12,NOK
tie-eb1594c056d54970ba02b1c1c2c6b8d0,USD
tie-37fd94d3ff8c4d2486d3a28be5711e5c,USD
tie-185d143bcb3542a8ac7c3a1d03d39a2d,AZN
tie-5cbcc1f9158d406288011071df5a1617,CLP
tie-a840a8deae93404f809b4ede6365963a,USD
tie-413d835b9cd046ee8d61016126882b9e,USD
tie-f1cffe9e50d9497088a4a7dca4342a4d,NZD
tie-9b25ae7d71b64e79b665dd715778ae4c,CAD
tie-22cbebb898c543c8b8cd40df88bb3e03,USD
tie-eca8fd23fb6a438e8449a997c9b80afd,CAD
tie-ec3ace742f594f07ab15d8fdbddf30bf,AWG
tie-fa33e95c7ee540229cb0c4891187c161,USD
tie-6e9fb033a4a94182a1dd1249abca342e,CAD
tie-3273b4db31124a06b3df941995eb4641,MXN
tie-9b50887c06f9430590c28c5510c6245d,USD
tie-34c113609dfa46bda24259c21803d67f,USD
tie-4e709db96d924e28acd4ebbd95f9a812,USD
tie-847b9386bb544555beef782eedbdfd97,XCD
tie-ce648545526a4dcb8c18ed567c5a512b,CAD
tie-2a61aec538fd4066bb8cc2d9931176e9,EUR
tie-7b502e6998134934b869eac323bc89d3,CLP
tie-81013ed0353e42feb2ba2cffd7ad31c4,CAD
tie-317478ef8c2d4262b8854072884c9675,TOP
tie-60bc532f824d450293305e9e4fa3513c,CAD
tie-99515556180c4a2488f23b7de4f9813a,USD
tie-387534df97d4472a8c68f89b94d9768e,HKD
tie-6c250d18bca84a7aba948d12105a04e9,USD
tie-45f3d6a5249f462197b3cc185d49fce9,EUR
tie-81161b7e83254956b79680cb3c525801,AED
tie-0a886edacdd9412cb212485a047ace9d,CHF
tie-d8d2091c595646b0a5f644a3b224d08e,USD
tie-bb88552e418745e48bea6cdc297ee2eb,CAD
tie-de25444541854e00a802374e7f5635e9,SAR
tie-a4d3109dc4274bd4b608b099ea9dabd4,AED
tie-16a20d4a7b3347089e3caa14598a8577,TWD
tie-c20b6b8b8c764938a84c08406e0397d9,USD
tie-34bee7e07b1d4ce89aab41b0c1c27286,USD
tie-a3e2b3f763d54298b3398663e0f77713,CAD
tie-df18dbfb3452427985b7d41f0dac88e6,CLP
tie-b94d6128e2b44e30b4fc29017b1b4270,AUD
tie-ef33c1f5a92b4b94836af7a5e3a35570,CVE
tie-0d3eb6b241d541588a80a4870036ce40,MXN
tie-d7d86f2906b14706a1d9c53f809bd2eb,CAD
tie-77194a75205a4f7fae28d6c16c6957a7,CAD
tie-8f3d1d3a03644fe7a6ca48f4b6c3c59b,PHP
tie-490e6c586548451a84a89ff7fef32b0a,USD
tie-9ec8efef15324a9aa96e6c7505bc81e2,COP
tie-75d00467701c4905b828db37515d9710,EUR
tie-8786b7b72418401f993dbe7fd85f2cca,CAD
tie-9d74035fd6ee4ace9e6f791d490d1050,AUD
tie-3aee6b4d3141473fbb4141ba52038b86,ILS
tie-d6613580c1344356ac4241d3fd846bb8,USD
tie-a0c20206af894698a6f783e3ed6b1141,USD
tie-eb39c045b28847008a88f100ca7f4be7,SAR
tie-097a3a94f44044aeaff5dccd3739b2f0,CAD
tie-bb8e8c680ddd45c4bb2f16010d1db9f6,USD
tie-f03367f4493144b6b85477fee0c2e866,USD
tie-d2d08f34ca6944f1a6f839ed9958dd59,CAD
tie-44718dc70cc8443daa501fa1466ec754,JPY
tie-b6e525eb43b14f6a89a937ef9acec085,HKD
tie-9654f8a2ba3b4534a76eb46c9975f1db,EGP
tie-a80ca2f04b4748a488ea9912b77b0c59,XCD
tie-b4c82b5d74f049aeafd751e00d912f3b,CHF
